26|965|tower-16|000101010101100101010101100101010101100101010110111
27|1750|candidate|00010101010110010101010110010101010110010101011011011
27|1855|tower-42|01000101010111000101010111000101010111001010101011011
28|1088|tower-16|0001010101011001010101011001010101011001010101100101111
28|1613|tower-90|0001010101011001010101011001010101011001010101101101011
28|992|tower-20|0010010001010101110101010110110010101010110010101011011
29|1088|tower-16|000101010101100101010101100101010101100101010110010110111
29|1978|candidate|000101010101100101010101100101010101100101010110010111011
29|1753|candidate|000101010101100101010101100101010101100101010110110010111
29|1329|tower-42|000101010101100101010101100101010101100101010110110101011
29|471|candidate|001001010101011011000101010111000101010110101010101101011
29|1855|tower-42|010001010101110001010101110001010101110001010101101101011
30|944|tower-16|00001010101101101100101010101100101010101100101010110010111
30|395|candidate|00010101010110001010101100101010110010101100101010110110111
30|1088|tower-16|00010101010110010101010110010101010110010101011001011010111
30|1978|candidate|00010101010110010101010110010101010110010101011001011011011
30|1820|tower-90|00010101010110010101010110010101010110010101011001011101011
30|1025|tower-16|00010101010110010101010110010101010110010101011011001010111
30|1753|candidate|00010101010110010101010110010101010110010101011011001011011
30|1365|tower-15|00100010101011011100101010001010101110101010110010101011011
30|1115|tower-20|00100100010101011101010101101100101010101100101010110010111
30|570|candidate|00100101010101101100010101011100010101011001010101011011011
30|1912|tower-42|01000101010111000101010111000101010111001010110010101011011
30|1486|tower-42|01000101010111000101010111001010110010101010110010101011011
30|1362|tower-42|01000101010111001010110010101010110010101010110010101011011
30|1331|tower-42|01001010110010101010110010101010110010101010110010101011011
